AID,name,description
208829,Compound was tested for the inhibition of subtilisin,Compound was tested for the inhibition of subtilisin
208830,Inhibitory activity against subtilisin,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208831,Ratio of the kinetic constants (ki X 10e3) versus Ki was reported,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208832,Ratio of the kinetic constants kH versus ki was reported,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208833,The ratio (ki + kH)/ki (turnover ratio) was determined using ultimate activity assay,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208834,Inhibitory activity against subtilisin,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208835,Inhibitory activity against subtilisin,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
208836,Inhibitory activity against subtilisin,Title: O'-(epoxyalkyl)tyrosines and (epoxyalkyl)phenylalanine as irreversible inactivators of serine proteases: synthesi
